DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
"4/10/2021 12:00:00 AM +00:00","4/10/2021 11:59:59 PM +00:00",,Daily,Microsoft Sway,Microsoft Corporation
"4/10/2021 12:00:00 AM +00:00","4/10/2021 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"4/10/2021 12:00:00 AM +00:00","4/10/2021 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"4/10/2021 12:00:00 AM +00:00","4/10/2021 11:59:59 PM +00:00",,Daily,Microsoft OneNote,Microsoft Corporation
"4/10/2021 12:00:00 AM +00:00","4/10/2021 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"3/26/2021 12:00:00 AM +00:00","3/26/2021 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"3/26/2021 12:00:00 AM +00:00","3/26/2021 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"3/26/2021 12:00:00 AM +00:00","3/26/2021 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"3/26/2021 12:00:00 AM +00:00","3/26/2021 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"2/6/2021 12:00:00 AM +00:00","2/6/2021 11:59:59 PM +00:00",,Daily,Microsoft Office,Microsoft Corporation
"2/6/2021 12:00:00 AM +00:00","2/6/2021 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"2/6/2021 12:00:00 AM +00:00","2/6/2021 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"2/6/2021 12:00:00 AM +00:00","2/6/2021 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"2/2/2021 12:00:00 AM +00:00","2/2/2021 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"12/25/2020 12:00:00 AM +00:00","12/25/2020 11:59:59 PM +00:00",,Daily,Microsoft To-Do,Microsoft Corporation
"12/25/2020 12:00:00 AM +00:00","12/25/2020 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"12/25/2020 12:00:00 AM +00:00","12/25/2020 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"12/25/2020 12:00:00 AM +00:00","12/25/2020 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"12/24/2020 12:00:00 AM +00:00","12/24/2020 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/27/2020 12:00:00 AM +00:00","10/27/2020 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/26/2020 12:00:00 AM +00:00","10/26/2020 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
